envelope,parameters,S_at_1,S_at_3,abs_error_at_3
tanh,"{""tau_char"": 1.6377505224563849}",0.5445448195891968,0.95,0.0
logistic,"{""k"": 1.5711312648789495, ""tau_mid"": 1.0}",0.3960950193886126,0.9500000000000004,4.440892098500626e-16
gompertz,"{""c"": 0.4180220906731086, ""eta"": 0.5}",0.46244588361605843,0.9499999999999937,6.217248937900877e-15
stretched_exp,"{""beta"": 0.7, ""tau_s"": 0.6257526333152126}",0.7505286591626988,0.95,0.0
hyperbolic,"{""alpha"": 6.333333333333037}",0.8636363636363581,0.9499999999999977,2.220446049250313e-15
