classifier,accuracy,auc
LDA,0.6133333333333333,0.6566638888888889
QDA,0.5666666666666667,0.6036666666666667
SVM-RBF,0.6033333333333334,0.6407222222222222
Random Forest,0.5816666666666667,0.620636111111111
Gradient Boost,0.5858333333333333,0.6070138888888889
